Fungi,Bacteria,Size,Classification
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,35461,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,34541,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,30880,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,28174,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,26319,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,24327,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,24116,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,24067,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,22952,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,22101,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,21858,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,20921,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,20187,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,18877,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,18606,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,18095,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,15468,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,15091,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,15047,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,14309,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,14123,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,13014,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,12981,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,12174,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,11888,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,11784,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,10381,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,9653,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,8752,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,8734,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,8399,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,8351,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,8278,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,8113,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,7988,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,7620,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,7262,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,6892,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,6292,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,6022,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,5653,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,5353,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,5063,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,5061,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,4623,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,4550,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,4379,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,4372,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,4339,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,4210,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,3023,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,2727,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,2442,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,2426,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,2241,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,2229,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,2125,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,1984,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,1899,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,1815,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,1665,Burkholderiaceae
Rhizopus_arrhizus_var._arrhizus_NRRL_66674,Burkholderia,1587,Burkholderiaceae
Rhizopus_arrhizus_var._delemar_NRRL_5129,Burkholderia,1556,Burkholderiaceae
Rhizopus_chinensis_NRRL_2906,Burkholderia,1508,Burkholderiaceae
Rhizopus_chinensis_Saito_NRRL_3671,Burkholderia,1508,Burkholderiaceae
Rhizopus_japonicus_NRRL_A-13076,Burkholderia,1556,Burkholderiaceae
Rhizopus_liquefaciens_NRRL_1514,Burkholderia,3612,Burkholderiaceae
Rhizopus_liquefaciens_NRRL_1514,Burkholderia,1592,Burkholderiaceae
Rhizopus_liquefaciens_NRRL_1514,Burkholderia,1534,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,41526,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,33260,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,30675,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,23618,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,17762,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,8735,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,4202,Burkholderiaceae
Rhizopus_microsporus_NRRL_5546,Burkholderia,2774,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,34201,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,20438,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,19806,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,18383,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,7841,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,6727,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,2928,Burkholderiaceae
Rhizopus_microsporus_NRRL_5547,Burkholderia,2089,Burkholderiaceae
Rhizopus_microsporus_NRRL_5548,Burkholderia,10730,Burkholderiaceae
Rhizopus_microsporus_NRRL_5548,Burkholderia,10650,Burkholderiaceae
Rhizopus_microsporus_NRRL_5548,Burkholderia,6709,Burkholderiaceae
Rhizopus_microsporus_NRRL_5548,Burkholderia,5487,Burkholderiaceae
Rhizopus_microsporus_NRRL_5548,Burkholderia,2627,Burkholderiaceae
Rhizopus_microsporus_NRRL_5548,Burkholderia,2435,Burkholderiaceae
Rhizopus_microsporus_NRRL_5550,Burkholderia,35973,Burkholderiaceae
Rhizopus_microsporus_NRRL_5550,Burkholderia,11771,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,249917,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,213095,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,205553,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,141392,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,125447,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,123534,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,122126,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,113461,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,107644,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,107363,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,105272,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,99460,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,92574,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,91899,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,87159,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,82309,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,71422,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,69246,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,67884,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,53981,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,53653,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,48275,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,44279,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,41834,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,39462,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,39153,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,37101,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,36190,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,34831,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,32432,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,30562,Burkholderiaceae
Rhizopus_microsporus_NRRL_5551,Burkholderia,30029,Burkholderiaceae
