Fungi,Bacteria,Size,Classification
Apophysomyces_sp._BC105,Burkholderia,36087,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,30653,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,23208,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,22721,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,18184,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,17954,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,16803,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,13297,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,13067,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,12871,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,12753,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,12550,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,11279,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,10761,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,9851,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,9296,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,9174,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,8426,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,8385,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,7604,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,7378,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,6334,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,6068,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,6022,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,5993,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,5928,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,5311,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,5118,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,4944,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,4854,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,4655,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,4554,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,4385,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,3638,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,3470,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,3240,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,3111,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,3049,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,2721,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,2446,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,2413,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,2330,Burkholderiaceae
Apophysomyces_sp._BC105,Burkholderia,2310,Burkholderiaceae
Backusella_circina_NRRL_A-17781,Burkholderia,1523,Burkholderiaceae
Circinella_simplex_CBS_142.35,Burkholderia,29744,Burkholderiaceae
Circinella_simplex_CBS_142.35,Burkholderia,14323,Burkholderiaceae
Circinella_simplex_CBS_142.35,Burkholderia,13110,Burkholderiaceae
Cunninghamella_sp._NRRL_A-21238,Burkholderia,1559,Burkholderiaceae
Cunninghamella_sp._NRRL_A-21271,Burkholderia,1559,Burkholderiaceae
Ellisomyces_anomalus_RSA_581-,Burkholderia,1505,Burkholderiaceae
Modicella_reniformis_MES-2146,Burkholderia,5154,Burkholderiaceae
Mortierella_chlamydospora_NRRL_2769,Burkholderia,15579,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,37395,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,33906,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,28610,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,28047,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,24870,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,18853,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,8915,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,7795,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,4878,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,2004,Burkholderiaceae
Mortierella_clonocystis_AM1000,Burkholderia,1620,Burkholderiaceae
Mortierella_epicladia_AD058,Burkholderia,46848,Burkholderiaceae
Mortierella_epicladia_AD058,Burkholderia,28042,Burkholderiaceae
Mortierella_gamsii_AD045,Burkholderia,9142,Burkholderiaceae
Mortierella_gamsii_AD045,Burkholderia,7464,Burkholderiaceae
Mortierella_gamsii_AD045,Burkholderia,3619,Burkholderiaceae
Mortierella_gamsii_NVP60,Burkholderia,8738,Burkholderiaceae
Mortierella_gamsii_NVP60,Burkholderia,5668,Burkholderiaceae
Mortierella_gamsii_NVP60,Burkholderia,3379,Burkholderiaceae
Mortierella_gamsii_NVP60,Burkholderia,2576,Burkholderiaceae
Mortierella_gamsii_NVP60,Burkholderia,1661,Burkholderiaceae
Mortierella_ovata_Yip_NRRL_13127,Burkholderia,1556,Burkholderiaceae
Mortierella_sp_AD010,Burkholderia,13872,Burkholderiaceae
Mortierella_verticillata_TTC192,Burkholderia,37336,Burkholderiaceae
Mortierella_verticillata_TTC192,Burkholderia,2789,Burkholderiaceae
Mucor_circinelloides_NRRL_A-25893,Burkholderia,1505,Burkholderiaceae
Mucor_dispersus_NRRL_6046,Burkholderia,1560,Burkholderiaceae
Mucor_hiemalis_NRRL_A-11532,Burkholderia,1505,Burkholderiaceae
Mucor_javanicus_NRRL_A-17643,Burkholderia,1505,Burkholderiaceae
Mucor_lamprosporus_NRRL_6040,Burkholderia,1537,Burkholderiaceae
Mucor_sp._NRRL_A-25970,Burkholderia,1505,Burkholderiaceae
Mucor_sp._NRRL_A-26212,Burkholderia,1505,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,24956,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,24306,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,22882,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,22485,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,21586,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,21575,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,20046,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,17510,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,15436,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,15030,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,14561,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,14061,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,13418,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,13223,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,13097,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,12749,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,12623,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,12057,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,11577,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,11501,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,11329,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,11312,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,11042,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,11018,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,10667,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,10570,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,10486,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,10469,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,10174,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9854,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9777,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9703,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9541,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9470,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9306,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,9063,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,8974,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,8400,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,8304,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,7863,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,7830,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,7790,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,7770,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,7349,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,7017,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6992,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6943,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6880,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6833,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6830,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6736,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6444,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6355,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6263,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6249,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6249,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,6041,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5985,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5893,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5807,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5763,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5701,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5663,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5636,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5492,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5353,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5334,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5317,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5240,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5218,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5073,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5044,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,5016,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4911,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4774,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4761,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4757,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4649,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4646,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4433,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4414,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4122,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,4015,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3957,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3944,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3920,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3897,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3691,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3521,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3516,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3428,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3345,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3285,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,3252,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2991,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2846,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2678,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2632,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2603,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2537,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2415,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2358,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2233,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2219,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2205,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2199,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2104,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,2066,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,1985,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,1971,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,1745,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,1703,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,1624,Burkholderiaceae
Rhizopus_americanus_NRRL_66675,Burkholderia,1610,Burkholderiaceae
Rhizopus_arrhizus_NRRL_2582,Burkholderia,70332,Burkholderiaceae
Rhizopus_arrhizus_NRRL_2582,Burkholderia,16049,Burkholderiaceae
Rhizopus_arrhizus_NRRL_2582,Burkholderia,13732,Burkholderiaceae
Rhizopus_arrhizus_NRRL_2582,Burkholderia,12860,Burkholderiaceae
Rhizopus_arrhizus_NRRL_2582,Burkholderia,3454,Burkholderiaceae
Rhizopus_arrhizus_NRRL_2582,Burkholderia,2494,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66564,Burkholderia,39742,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66564,Burkholderia,23300,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66564,Burkholderia,8531,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66564,Burkholderia,2347,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66564,Burkholderia,2089,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66564,Burkholderia,1716,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66565,Burkholderia,1556,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66568,Burkholderia,1556,Burkholderiaceae
Rhizopus_arrhizus_NRRL_66596,Burkholderia,1556,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-10369,Burkholderia,1556,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,80118,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,58801,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,55140,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,54872,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,52189,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,49098,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,47072,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,45080,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,41956,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,41588,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,39716,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,38084,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,37042,Burkholderiaceae
Rhizopus_arrhizus_NRRL_A-11376,Burkholderia,36485,Burkholderiaceae
