Gained Genes,Count
Electron transfer flavoprotein,72
GntR family transcriptional regulator,52
Domain of unknown function DUF20,46
endoribonuclease L-psp,42
ec 1.11.1.7,41
Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity),32
methylglyoxal synthase (EC 4.2.3.3),26
Plays an important role in bacterial chemotaxis signal transduction pathway by accelerating the dephosphorylation of phosphorylated CheY (CheY-P) (By similarity),23
Short-chain dehydrogenase reductase SDR,21
