Lost,n
GO:0005575,1561
GO:0005623,1484
GO:0044464,1484
GO:0008150,1451
GO:0008152,1135
GO:0003674,1072
GO:0009987,1044
GO:0003824,948
GO:0071944,923
GO:0044237,861
GO:0016020,826
GO:0044710,791
GO:0071704,791
GO:0005886,713
GO:0005622,662
GO:0044424,662
GO:0044238,643
GO:0006807,574
GO:0044281,564
GO:0005737,555
GO:1901360,501
GO:0009056,490
GO:0006725,487
GO:1901564,480
GO:0034641,473
GO:0046483,450
GO:0044699,409
GO:0044248,388
GO:1901575,378
GO:0044763,370
GO:0006793,363
GO:0055114,359
GO:0009058,328
GO:1901576,327
GO:0006796,320
GO:0044249,317
GO:0019637,313
GO:0006139,309
GO:0016491,297
GO:0005488,296
GO:0030312,296
GO:0065007,295
GO:0050789,269
GO:0050794,264
GO:0055086,242
GO:0006753,241
GO:0009117,241
GO:0006082,239
GO:0043436,233
GO:0043167,224
GO:1901565,223
GO:0050896,216
GO:0019439,215
GO:0019752,211
GO:0031975,211
GO:0051186,211
GO:0006732,210
GO:0016787,210
GO:0030313,202
GO:1901566,202
GO:1901362,197
GO:0018130,192
GO:0044270,188
GO:0005618,182
GO:0043170,181
GO:1901361,176
GO:0019222,174
GO:0044271,174
GO:0080090,172
GO:0031323,170
GO:0042221,170
GO:0051171,170
GO:0060255,170
GO:0019219,167
GO:0044425,167
GO:0044444,167
GO:0016853,163
GO:0051179,163
GO:0006810,162
GO:0051234,162
GO:0005975,161
GO:0046700,161
GO:0031224,158
GO:0097159,153
GO:1901363,153
GO:0019438,152
GO:0010468,149
GO:0043169,149
GO:0044260,149
GO:0046872,149
GO:0043226,148
GO:0043229,148
GO:0006355,146
GO:0006520,146
GO:0009889,146
GO:0010556,146
GO:0031326,146
GO:0046434,146
GO:0051188,146
GO:0051252,146
GO:2000112,146
GO:2001141,146
GO:0009108,145
GO:1901605,143
GO:0016021,141
GO:0046914,141
GO:0044282,140
GO:0044712,140
GO:1901135,140
GO:0044723,138
GO:0044765,138
GO:0034655,137
GO:0044711,137
GO:0005829,135
GO:0051716,132
GO:0000910,129
GO:0007049,129
GO:0022402,129
GO:0051301,129
GO:0032787,127
GO:0005576,125
GO:0016854,124
GO:0006733,122
GO:0019362,122
GO:0043168,122
GO:0046496,122
GO:0072524,122
GO:0042597,120
GO:1901657,119
GO:0016462,118
GO:0016817,118
GO:0016818,118
GO:0036094,117
GO:0006152,116
GO:0006163,116
GO:0006195,116
GO:0006200,116
GO:0006950,116
GO:0009116,116
GO:0009119,116
GO:0009123,116
GO:0009125,116
GO:0009126,116
GO:0009128,116
GO:0009141,116
