Lost Genes,Count
LysR family Transcriptional regulator,106
cell division protein FtsK,91
"ABC, transporter",68
ABC transporter,67
Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity),57
Dehydrogenase,53
"Responsible for the transport of dicarboxylates such as succinate, fumarate, and malate from the periplasm across the membrane (By similarity)",51
Transposase,51
Short chain dehydrogenase,47
Gcn5-related n-acetyltransferase,46
EamA-like transporter family,44
Transposase IS116 IS110 IS902 family protein,44
Ribulose-phosphate 3-epimerase,43
short-chain dehydrogenase reductase,43
(ABC) transporter,42
acriflavin resistance protein,42
Major Facilitator superfamily,42
rod shape-determining protein MreB,42
Dihydrolipoamide dehydrogenase,41
